nom_commune,code_insee_commune,code_siren_epci,nom_document,nature_document,id_gpu,date_approbation,niveau_couverture,lien_reglement,date_traitement,statut
Epfig,67125,200034270,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE BARR,PLUi,d5d57b13334e4b7e4e0bbc3ca70df84f,16/01/2025 15:04:28,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/d5d57b13334e4b7e4e0bbc3ca70df84f/files/200034270_reglement_20250107.pdf,2026-08-12,document trouvé
Erckartswiller,67126,200067783,,,,,,,2026-08-12,trou de couverture
Ergersheim,67127,246701064,Plan Local d'Urbanisme (PLU) de la commune de ERGERSHEIM,PLU,11f9934632fec3c03325e420a0237cd7,20/11/2025 11:25:47,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/11f9934632fec3c03325e420a0237cd7/files/67127_reglement_20251113.pdf,2026-08-12,document trouvé
Ernolsheim-Bruche,67128,246701064,Plan Local d’Urbanisme (PLU) de la commune de ERNOLSHEIM-BRUCHE,PLU,f4556f23f75c5cfd9c4c839810510835,29/07/2022 15:17:13,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/f4556f23f75c5cfd9c4c839810510835/files/67128_reglement_20211220.pdf,2026-08-12,document trouvé
Ernolsheim-lès-Saverne,67129,200068112,Plan Local d'Urbanisme (PLU) de la commune de ERNOLSHEIM-LES-SAVERNE,PLU,0fa5521e8d6c848b26e31a13cae992c1,10/08/2020 18:40:17,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/0fa5521e8d6c848b26e31a13cae992c1/files/67129_reglement_20200626.pdf,2026-08-12,document trouvé
Erstein,67130,200067924,Plan Local d'Urbanisme (PLU) de la commune de ERSTEIN,PLU,a9bbdf43bf011015765405b8abff2a14,11/12/2025 17:00:41,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/a9bbdf43bf011015765405b8abff2a14/files/67130_reglement_20251208.pdf,2026-08-12,document trouvé
Eschau,67131,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Eschbach,67132,200013050,,,,,,,2026-08-12,trou de couverture
Eschbourg,67133,200067783,Plan Local d'Urbanisme intercommunal (PLUi) DE HANAU-LA PETITE PIERRE partie A,PLUi,ed7dc9c81a38e442eb1ff778ba9be0a2,06/02/2026 15:28:13,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/ed7dc9c81a38e442eb1ff778ba9be0a2/files/200067783_reglement_20260202_A.pdf,2026-08-12,document trouvé
Eschwiller,67134,200067841,,,,,,,2026-08-12,trou de couverture
